297050 0 1497646543 297050 1 1497664375 32460
297056 0 1497675705 297057 1 1497701434 46918
297099 0 1497727811 297101 1 1497758989 79698
297113 0 1497789820 297114 1 1497799416 30982
297175 0 1497899081 297176 1 1497905987 21432
297178 0 1497910146 297178 1 1497942245 70777
297215 0 1497966781 297219 1 1498001191 105618
297220 0 1498001192 297227 1 1498040171 64354
297292 0 1498099349 297308 1 1498134230 114848
297359 0 1498188638 297359 1 1498191668 4018
297411 0 1498224978 297411 1 1498246342 81418
297424 0 1498264989 297435 1 1498299730 125412
297467 0 1498333697 297469 1 1498339754 26697
297483 0 1498369071 297486 1 1498403268 137683
297487 0 1498403676 297488 1 1498428107 68060
297503 0 1498442545 297505 1 1498473570 114728
297557 0 1498519281 297558 1 1498534505 65179
297562 0 1498543129 297563 1 1498557952 47381
297599 0 1498575984 297606 1 1498621191 159290
297620 0 1498644618 297620 1 1498651251 32699
297656 0 1498671592 297656 1 1498680125 35511
297665 0 1498697218 297666 1 1498706964 34450
297670 0 1498717592 297675 1 1498736246 69778
297722 0 1498768822 297723 1 1498782517 54821
298996 0 1500017920 299000 1 1500025782 14749
299042 0 1500063230 299042 1 1500063645 833
299061 0 1500080597 299067 1 1500117072 118848
299096 0 1500132437 299096 1 1500134670 10264
299149 0 1500169403 299149 1 1500179542 45758
299178 0 1500208035 299185 1 1500228770 78287
299327 0 1500364388 299329 1 1500370314 23408
299368 0 1500394290 299370 1 1500423184 100603
299380 0 1500431813 299381 1 1500437890 28156
299394 0 1500449437 299396 1 1500456392 25066
299420 0 1500465889 299420 1 1500466979 5315
299443 0 1500510773 299443 1 1500511238 2378
299450 0 1500525562 299450 1 1500526586 5392
299477 0 1500554670 299480 1 1500579841 108017
299481 0 1500580517 299481 1 1500609818 86830
299593 0 1500661423 299595 1 1500691204 124224
299597 0 1500691562 299597 1 1500704103 40811
299649 0 1500863900 299649 1 1500868142 24011
300087 0 1501309546 300087 1 1501313937 2351
300105 0 1501330491 300107 1 1501334175 15534
300117 0 1501346886 300117 1 1501347512 2721
300122 0 1501364798 300122 1 1501393686 133210
300123 0 1501394277 300123 1 1501408316 48172
300155 0 1501440637 300156 1 1501469890 134362
300157 0 1501470882 300157 1 1501496500 79798
300226 0 1501520724 300226 1 1501530055 50151
300233 0 1501539043 300239 1 1501581409 170752
300240 0 1501582282 300240 1 1501590535 21944
300280 0 1501649339 300283 1 1501669831 78098
300284 0 1501670136 300284 1 1501687643 61905
300364 0 1501762516 300375 1 1501770861 21404
300389 0 1501786122 300400 1 1501811238 98793
300401 0 1501812181 300401 1 1501827444 54516
300459 0 1501849064 300464 1 1501870419 94783
300466 0 1501871103 300467 1 1501899512 94279
300497 0 1501918418 300497 1 1501921514 16338
300514 0 1501934540 300516 1 1501963724 125799
300517 0 1501964168 300517 1 1501978689 42604
300558 0 1502019008 300560 1 1502051468 117878
300574 0 1502074330 300576 1 1502106902 139670
300631 0 1502120179 300635 1 1502140544 89728
300636 0 1502141023 300636 1 1502177667 122133
300674 0 1502190213 300676 1 1502192520 7712
300742 0 1502212137 300742 1 1502218850 26326
300777 0 1502254130 300780 1 1502273372 89548
300785 0 1502275772 300785 1 1502305422 96727
300806 0 1502315285 300817 1 1502348809 146194
301046 0 1502501788 301046 1 1502503218 1786
301142 0 1502713236 301142 1 1502734145 43692
301161 0 1502746804 301165 1 1502768128 50688
301179 0 1502783959 301183 1 1502793868 27258
301281 0 1502838525 301283 1 1502862177 62092
301298 0 1502875026 301298 1 1502896121 67690
301323 0 1502907750 301323 1 1502929972 73490
301330 0 1502947951 301330 1 1502955622 28291
301359 0 1502968102 301359 1 1502974714 24882
301384 0 1502984615 301384 1 1502995710 41116
301391 0 1503006294 301399 1 1503048728 116163
301417 0 1503060421 301417 1 1503067833 29690
301447 0 1503142220 301450 1 1503173653 84832
301461 0 1503183714 301461 1 1503196552 42999
301472 0 1503238396 301476 1 1503278491 111441
301519 0 1503321281 301532 1 1503364219 93988
301567 0 1503391669 301567 1 1503399974 28426
301627 0 1503444177 301627 1 1503464778 58634
301664 0 1503491117 301665 1 1503512221 62113
301694 0 1503548683 301694 1 1503550163 7242
301912 0 1503755854 301914 1 1503774362 35264
301941 0 1503826396 301941 1 1503838861 32424
301959 0 1503858272 301960 1 1503906280 128972
301970 0 1503916931 301970 1 1503919681 9572
301984 0 1503929658 301987 1 1503980499 128742
301997 0 1503989775 301998 1 1504038088 123834
302019 0 1504064531 302019 1 1504065687 3943
302026 0 1504075806 302029 1 1504079281 8593
302031 0 1504080508 302043 1 1504127030 96455
302131 0 1504182768 302131 1 1504203117 50008
302159 0 1504226336 302159 1 1504228781 7181
302163 0 1504236871 302166 1 1504267499 69735
302225 0 1504291301 302225 1 1504311581 51702
302228 0 1504323070 302229 1 1504339385 48055
302240 0 1504349628 302240 1 1504372006 62645
302262 0 1504409579 302263 1 1504448830 110580
302277 0 1504478858 302277 1 1504487479 23959
302279 0 1504510556 302280 1 1504515950 8789
302322 0 1504547057 302322 1 1504566515 44586
302328 0 1504576223 302328 1 1504592017 43272
302337 0 1504603085 302350 1 1504626907 59523
302388 0 1504637286 302388 1 1504653328 57260
302392 0 1504663125 302393 1 1504692224 106144
302448 0 1504731001 302448 1 1504775353 141638
302472 0 1504783693 302476 1 1504825388 135494
302479 0 1504833648 302479 1 1504840831 30762
302484 0 1504850837 302494 1 1504894408 139560
302509 0 1504912333 302509 1 1504912799 2189
302513 0 1504923602 302513 1 1504924750 5325
302522 0 1504941783 302526 1 1504975623 106542
